"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Tesla","TSLA","1430812360704","430.3","United States"
"2","Toyota","TM","251345158144","192.839","Japan"
"3","Xiaomi","XIACF","176943726592","6.8","China"
"4","BYD","002594.SZ","136956219874","15.5309","China"
"5","Ferrari","RACE","75709423616","413.571","Italy"
"6","Mercedes-Benz","MBG.DE","59525358406","61.8186","Germany"
"7","BMW","BMW.DE","56813452077","93.2034","Germany"
"8","Maruti Suzuki India","MARUTI.NS","56592180338","179.999","India"
"9","Volkswagen","VOW3.DE","53621189759","106.124","Germany"
"10","General Motors","GM","53621022720","56.32","United States"
"11","Mahindra &amp; Mahindra","M&M.NS","47181884920","38.7688","India"
"12","Ford","F","46066880512","11.575","United States"
"13","Porsche","P911.DE","43922833984","48.2139","Germany"
"14","Honda","HMC","39898750976","30.715","Japan"
"15","Hyundai","005380.KS","38177547405","154.78","South Korea"
"16","Seres Group","601127.SS","36698154951","22.4678","China"
"17","Stellantis","STLA","31425128448","10.6366","Netherlands"
"18","Suzuki Motor","7269.T","28685198905","14.8684","Japan"
"19","Kia","000270.KS","28577230893","73.3096","South Korea"
"20","SAIC Motor","600104.SS","28280969253","2.46022","China"
"21","Tata Motors","TATAMOTORS.NS","28241737338","7.66953","India"
"22","Great Wall Motors","601633.SS","26824796520","3.47549","China"
"23","Geely","0175.HK","25685630755","2.53846","China"
"24","Li Auto","LI","24410697728","23.8465","China"
"25","Hyundai Motor India","HYUNDAI.NS","22039603511","27.1243","India"
"26","XPeng","XPEV","21399500800","22.94","China"
"27","NIO","NIO","18251130880","7.53","China"
"28","JAC Motors","600418.SS","16119465760","7.38067","China"
"29","Rivian","RIVN","15810922496","13.0299","United States"
"30","Chongqing Changan","000625.SZ","15239837809","1.73002","China"
"31","Subaru","7270.T","14811266135","20.413","Japan"
"32","Renault","RNO.PA","12092223532","40.9534","France"
"33","Hotai Motor","2207.TW","10643647959","19.1054","Taiwan"
"34","Leapmotor","9863.HK","9978008402","8.54721","China"
"35","Dongfeng Motor","0489.HK","9917548342","1.20175","China"
"36","GAC (Guangzhou Automobile Group)","601238.SS","9161306817","1.07845","China"
"37","Isuzu","7202.T","8858614964","12.6519","Japan"
"38","Nissan","7201.T","8496517662","2.43295","Japan"
"39","Ford Otosan","FROTO.IS","7898052164","2.25073","Turkey"
"40","VinFast Auto","VFS","7788246016","3.33","Vietnam"
"41","Zeekr","ZK","7733856768","30.19","China"
"42","Lucid Motors","LCID","6646898688","21.63","United States"
"43","Volvo Car","VOLCAR-B.ST","6529440073","2.20295","Sweden"
"44","FAW Car","000800.SZ","4899650544","0.995605","China"
"45","Mazda","7261.T","4530047517","7.18246","Japan"
"46","Polaris","PII","3572513792","63.54","United States"
"47","Mitsubishi Motors","7211.T","3514648960","2.62649","Japan"
"48","Tofaş Türk Otomobil Fabrikası","TOASO.IS","3252593186","6.50519","Turkey"
"49","Force Motors","FORCEMOT.NS","2272234582","172.319","India"
"50","Polestar","PSNY","1950808192","0.9205","Sweden"
"51","Lotus Technology","LOT","1432068224","2.11","China"
"52","Yulon Motor Company","2201.TW","1166407131","1.09782","Taiwan"
"53","Aston Martin","AML.L","807376769","0.797788","United Kingdom"
"54","KG Mobility (SsangYong Motor)","003620.KS","478397402","2.36392","South Korea"
"55","NWTN Inc.","NWTN","406157984","1.39","United Arab Emirates"
"56","Faraday Future","FFAI","212719632","1.445","United States"
"57","Kandi Technologies Group","KNDI","103375816","1.26","China"
"58","REE Automotive","REE","23580702","0.835","Israel"
"59","Cenntro Electric Group","CENN","16285055","0.3137","United States"
"60","Phoenix Motor","PEV","10575262","0.23","United States"
"61","Canoo","GOEV","5359820","0.37","United States"
"62","Arcimoto","FUV","4242586","0.38","United States"
"63","Mullen Automotive","MULN","695574","0.066","United States"
